OBJECTID;Name;smart-me ID;Name des Smart-Me Zählers;Leistung in kWp;Modultyp;Leistung / Modul in Wp;Anzahl Module;Wechselrichterleistung in kVA;Fläche in m2;Link;Geo Point;Geo Shape
2;Future Champs Ostschweiz;afd1c657-7215-dcc1-0d86-f73369e40689;PV Kunklerstrasse 1;39.96;Yingli Solar Panda 60 270;270;148;35.0;250;https://sgsw.solarlog-web.ch/60388.html;47.4062257789, 9.30458367365;"{""coordinates"": [[[9.304759298832394, 47.406280780651954], [9.304687032062729, 47.4061153818628], [9.304408300999738, 47.4061701630343], [9.304480560582892, 47.406336600072606], [9.304759298832394, 47.406280780651954]]], ""type"": ""Polygon""}"
10;Primarschule Grossacker;;;149.94;CNPV-255MB;255;588;126.0;970;https://sgsw.solarlog-web.ch/40750.html;47.4301361991, 9.3966067355;"{""coordinates"": [[[9.396753191609163, 47.43021202058032], [9.396789514089368, 47.430127185086235], [9.396458411245295, 47.43006162938106], [9.396423129912526, 47.43014407307344], [9.396740174122389, 47.43020868734971], [9.396753191609163, 47.43021202058032]]], ""type"": ""Polygon""}"
22;Werkhof St.Galler Stadtwerke;ebbaa4a5-bbd8-50cf-8cf0-5e5d17eaf03c;PV Steinachstrasse 47 Spital;11.664;Newtec SDZ 34-10;36;324;11.4;410;https://sgsw.solarlog-web.ch/40472.html;47.4308065403, 9.38462685273;"{""coordinates"": [[[9.384580563165184, 47.430872759948144], [9.384735069800792, 47.43080788639484], [9.38467252998903, 47.43074000285731], [9.384518619834763, 47.43080581780988], [9.384580563165184, 47.430872759948144]]], ""type"": ""Polygon""}"
23;Stadion Kybunpark;;;633.36;HareonHR-260-18/Bb poly;260;2436;499.0;3953;https://sgsw.solarlog-web.ch/40145.html;47.4083251753, 9.30563804578;"{""coordinates"": [[[9.306854012869795, 47.40830282653311], [9.306846533496728, 47.408259636375206], [9.306843202624913, 47.40826102480475], [9.306839727524107, 47.40826224075059], [9.306836130107442, 47.40826327740378], [9.306834630819221, 47.40817522997871], [9.306784441944286, 47.40809391854404], [9.306702284723345, 47.408025918776836], [9.306595940363387, 47.40798062608031], [9.306139061701476, 47.40784969653084], [9.306061128448743, 47.407825487761336], [9.305982446043814, 47.407802422739096], [9.305903050920115, 47.407780512145735], [9.305821532401342, 47.407758923544606], [9.305810018998296, 47.40775644034156], [9.305798495788274, 47.4077539938183], [9.305786948161224, 47.407751584269356], [9.305323334829637, 47.40761955860645], [9.305199952123665, 47.407598269663794], [9.305201582565898, 47.40759724646653], [9.305074547309994, 47.40760429759013], [9.304952592925341, 47.40763626048329], [9.30485777215385, 47.407692065092384], [9.30479594290946, 47.407748763949506], [9.304411703818042, 47.40839100810206], [9.304434063783795, 47.40846872305233], [9.304481722104539, 47.408547934051356], [9.304514320169579, 47.40859714023457], [9.304668719007367, 47.408666071856544], [9.305948198449673, 47.40903159203228], [9.306079144072008, 47.409049336692604], [9.306203430483158, 47.409043756986094], [9.306328549632553, 47.40901197915409], [9.306422878127268, 47.408952134935106], [9.306485373921605, 47.40888447490155], [9.306854093718167, 47.408302852067074], [9.306854012869795, 47.40830282653311]]], ""type"": ""Polygon""}"
24;Containerbau Lattich;616bad51-47cd-52de-ca1e-49fa646072e7;PV Güterbahnhofstrasse 7;41.3;diverse Ersatzmodule;;151;27.6;252;https://sgsw.solarlog-web.ch/61003.html;47.4181559447, 9.36462937969;"{""coordinates"": [[[9.364939639689686, 47.41826329140327], [9.364400694536672, 47.41797765515304], [9.364319061033537, 47.41804854329027], [9.364858062780435, 47.41833425088063], [9.364939639689686, 47.41826329140327]]], ""type"": ""Polygon""}"
30;Wienerberg Wohn- und Pflegehaus;;;66.93;Axitec Axipremium X HC BLK;345;194;55.0;324;https://sgsw.solarlog-web.ch/62737.html;47.4328847582, 9.37320948491;"{""coordinates"": [[[9.373456859749224, 47.43301724243049], [9.37355044803213, 47.43296255845974], [9.3734821320531, 47.43290952485877], [9.37338952383216, 47.43296416817093], [9.373011499285862, 47.43266620911897], [9.372897493194827, 47.432732821964294], [9.373118486839573, 47.43290695442254], [9.37334293540489, 47.43308380864889], [9.373456859749224, 47.43301724243049]]], ""type"": ""Polygon""}"
35;Sturzeneggstrasse 40;4c2a0f35-361f-5c22-7e74-b3728401f3a2;PV Sturzeneggstrasse 40;41.04;Suntech STP270S;270;152;40.0;247;noch nicht vorhanden;;
3;Tennishalle Gründenmoos;;;130.19;Sunways SM 235UD1A;235;554;127.0;904;https://sgsw.solarlog-web.ch/40470.html;47.4143698177, 9.30733781778;"{""coordinates"": [[[9.307671982834885, 47.41430640627317], [9.307131652479713, 47.414052342825585], [9.307070091831589, 47.41411366996009], [9.306914763237504, 47.41426691210629], [9.306828701938345, 47.414351828479674], [9.307543669276345, 47.41468661255542], [9.30784466867692, 47.41439164536815], [9.307847448962704, 47.41438891050733], [9.307671982834885, 47.41430640627317]]], ""type"": ""Polygon""}"
4;Stadion Gründenmoos;;;56.4;Solarintegrated SI 576 G2;576;98;51.8;1140;https://sgsw.solarlog-web.ch/40555.html;47.410782891, 9.30556593279;"{""coordinates"": [[[9.305228247258475, 47.41113185246964], [9.305486232628297, 47.4109616140525], [9.305468190864126, 47.410949022780684], [9.305518165041686, 47.4109160430205], [9.30553620770419, 47.41092863490814], [9.305799345810465, 47.41075498416533], [9.305780869261698, 47.410742084626605], [9.30581232017811, 47.41072133374317], [9.305830797625207, 47.41073423328697], [9.306093687796448, 47.41056073874811], [9.305976778350427, 47.410479057728914], [9.305968410543565, 47.41048457284311], [9.305902741899681, 47.410438122943006], [9.305907495784155, 47.41043498725261], [9.305902876646979, 47.41043175976496], [9.305898122762473, 47.41043489545556], [9.305900988388245, 47.41043689188974], [9.305047596054843, 47.41099969424215], [9.305044824752198, 47.41099775983727], [9.305039215671554, 47.41100145782115], [9.305043834808762, 47.411004685273916], [9.305048873459182, 47.411001364809245], [9.305115173618727, 47.411047679862094], [9.305106316230013, 47.41105360769474], [9.305115580555544, 47.411060043748115], [9.30521238121394, 47.41112727726694], [9.305223493374001, 47.411134988118555], [9.305228247258475, 47.41113185246964]]], ""type"": ""Polygon""}"
9;Primarschule Grossacker;;;149.94;CNPV-255MB;255;588;126.0;970;https://sgsw.solarlog-web.ch/40750.html;47.4299300326, 9.39611228046;"{""coordinates"": [[[9.39643576651363, 47.429954976531064], [9.396264148768477, 47.42992108618181], [9.396266054095186, 47.429916636582945], [9.396261232837064, 47.42991568370517], [9.396156474901915, 47.4298950649565], [9.396153176288173, 47.4298944189683], [9.396048405776597, 47.429873800211304], [9.396044973313888, 47.429873129307], [9.395940082428066, 47.42985248562585], [9.395936636490635, 47.42985180621342], [9.395830944307571, 47.42983100452094], [9.395825842775054, 47.4298300024176], [9.395803866389961, 47.42988100027806], [9.395790367406178, 47.429907700921994], [9.396403180126685, 47.43003086511636], [9.39643576651363, 47.429954976531064]]], ""type"": ""Polygon""}"
